Text,Category,Label,KG_Sent1,KG_Sent2
Thursday tennis picks in Auckland and Adelaide https://t.co/PkP8T3ZVZm https://t.co/mnPXghyyCw,sports,0,Thursday tennis picks in Auckland and Adelaide https://t.co/PkP8T3ZVZm https://t.co/mnPXghyyCw,Thursday tennis picks in Auckland and Adelaide https://t.co/PkP8T3ZVZm https://t.co/mnPXghyyCw
"RT @diprjk: Lt Governor, G C Murmu inaugurated the Maulana Azad Cricket Stadium #Jammu .The new stadium developed exclusively for Cricket a…",sports,0,"RT @diprjk: Lt Governor, G C Murmu inaugurated the Maulana Azad Cricket Stadium #Jammu(City) .The new stadium developed exclusively for Cricket a…","RT @diprjk: Lt Governor, G C Murmu inaugurated the Maulana Azad Cricket Stadium #City .The new stadium developed exclusively for Cricket a…"
@greta The media lost credibility with me in the 60s when I began participating in politics.  What I saw bore no re… https://t.co/US126Bp9sx,politics,3,@greta The media lost credibility with me in the 60s when I began participating in politics. What I saw bore no re… https://t.co/US126Bp9sx,@greta The media lost credibility with me in the 60s when I began participating in politics. What I saw bore no re… https://t.co/US126Bp9sx
@abcnews Why did they put the tennis on in the first place? Beyond logical thinking. Money money money,sports,0,@abcnews(Company) Why did they put the tennis on in the first place? Beyond logical thinking. Money money money,Company Why did they put the tennis on in the first place? Beyond logical thinking. Money money money
RT @miburis: twice didn't even have a concert you sick fucks https://t.co/sLp96J2GII,entertainment,1,RT @miburis: twice didn't even have a concert you sick fucks https://t.co/sLp96J2GII,RT @miburis: twice didn't even have a concert you sick fucks https://t.co/sLp96J2GII
RT @Bamafanaticfan1: VA Dems Drop AR-15 Confiscation When 1000s of NRA Members Show ⁦@realDonaldTrump⁩ ⁦@NRA⁩ ⁦@DLoesch⁩ ⁦@GOP⁩ ⁦@SenateGOP…,politics,3,RT @Bamafanaticfan1: VA Dems Drop AR-15 Confiscation When 1000s of NRA(Nonprofit organization) Members Show ⁦@realDonaldTrump⁩ ⁦@NRA(Nonprofit organization)⁩ ⁦@DLoesch⁩ ⁦@GOP⁩ ⁦@SenateGOP…,RT @Bamafanaticfan1: VA Dems Drop AR-15 Confiscation When 1000s of Nonprofit organization Members Show ⁦@realDonaldTrump⁩ ⁦@Nonprofit organization⁩ ⁦@DLoesch⁩ ⁦@GOP⁩ ⁦@SenateGOP…
RT @ACNI2012: @Aman53547797 @TheToka920 OMFG .. who is this @Aman53547797 ?? Who has 1 or 2 followers ?? Every country knows Malinga is the…,sports,0,RT @ACNI2012: @Aman53547797 @TheToka920 OMFG .. who is this @Aman53547797 ?? Who has 1 or 2 followers ?? Every country knows Malinga(Sri Lankan cricketer) is the…,RT @ACNI2012: @Aman53547797 @TheToka920 OMFG .. who is this @Aman53547797 ?? Who has 1 or 2 followers ?? Every country knows Sri Lankan cricketer is the…
RT @TheRealPBarry: !!!! ‘Government used sporting grants as slush fund for re-election campaign’ https://t.co/F7e9DJHyZM via @smh,politics,3,RT @TheRealPBarry: !!!! ‘Government used sporting grants as slush fund for re-election campaign’ https://t.co/F7e9DJHyZM via @smh,RT @TheRealPBarry: !!!! ‘Government used sporting grants as slush fund for re-election campaign’ https://t.co/F7e9DJHyZM via @smh
"RT @BeaconGalen: Released last year, Games Changers Hosted by Alex Trebek explores the human side of the North American game show industry…",entertainment,1,"RT @BeaconGalen: Released last year, Games Changers Hosted by Alex Trebek(Television personality) explores the human side of the North American game show industry…","RT @BeaconGalen: Released last year, Games Changers Hosted by Television personality explores the human side of the North American game show industry…"
Greatest thing in life: Winning a #tennismatch. Second greatest thing in life: Losing a tennis match.,sports,0,Greatest thing in life: Winning a #tennismatch. Second greatest thing in life: Losing a tennis match.,Greatest thing in life: Winning a #tennismatch. Second greatest thing in life: Losing a tennis match.
@bennylope One way is by electing people who already agree to work towards the policies you want. The other way is… https://t.co/GqyhFTluN9,politics,3,@bennylope One way is by electing people who already agree to work towards the policies you want. The other way is… https://t.co/GqyhFTluN9,@bennylope One way is by electing people who already agree to work towards the policies you want. The other way is… https://t.co/GqyhFTluN9
"RT @disneyplus: Meet Stargirl Caraway in @Stargirl, an Original Movie, streaming Mar. 13 on #DisneyPlus. https://t.co/sGPhVAtnYM",entertainment,1,"RT @disneyplus: Meet Stargirl Caraway in @Stargirl, an Original Movie, streaming Mar. 13 on #DisneyPlus. https://t.co/sGPhVAtnYM","RT @disneyplus: Meet Stargirl Caraway in @Stargirl, an Original Movie, streaming Mar. 13 on #DisneyPlus. https://t.co/sGPhVAtnYM"
"@jeremymeyers @tomtomorrow ""According to that report, Hyde was taken into police custody at the Trump National Dora… https://t.co/mBNu9Rgd7R",medical,2,"@jeremymeyers @tomtomorrow ""According to that report, Hyde(City in India) was taken into police custody at the Trump National Dora… https://t.co/mBNu9Rgd7R","@jeremymeyers @tomtomorrow ""According to that report, City in India was taken into police custody at the Trump National Dora… https://t.co/mBNu9Rgd7R"
RT @soompi: #TheRose To Perform As Special Guests At @halsey's Concert In Seoul https://t.co/BKgUlVhdVN https://t.co/VTpIRfowuw,entertainment,1,RT @soompi: #TheRose To Perform As Special Guests At @halsey(Singer)'s Concert In Seoul https://t.co/BKgUlVhdVN https://t.co/VTpIRfowuw,RT @soompi: #TheRose To Perform As Special Guests At Singer's Concert In Seoul https://t.co/BKgUlVhdVN https://t.co/VTpIRfowuw
"RT @RepTedDeutch: I am greatly saddened and disturbed by the death of Moustafa Kassem, an American citizen unjustly imprisoned in Egypt sin…",medical,2,"RT @RepTedDeutch: I am greatly saddened and disturbed by the death of Moustafa Kassem, an American citizen unjustly imprisoned in Egypt sin…","RT @RepTedDeutch: I am greatly saddened and disturbed by the death of Moustafa Kassem, an American citizen unjustly imprisoned in Egypt sin…"
